y,x0,x1,x2
59.0,1.0,0.03670583950666505,0.036553395612201514
58.0,1.0,0.07515985294047299,-0.037397113833978264
54.0,1.0,-0.03259469696654341,0.12806800954780015
61.0,1.0,-0.005038776342898122,0.05165600791989478
50.0,1.0,-0.05331749821525334,0.046899684042128215
52.0,1.0,0.09820929170683206,0.027125081862278373
54.0,1.0,0.09205499971795622,-0.0415003443024659
71.0,1.0,-0.04289480272987955,-0.028491934254582924
52.0,1.0,-0.03107363108882845,-0.12042664464479523
65.0,1.0,-0.04980967482004451,-0.046701334173830295
40.0,1.0,-0.11736988519645906,0.099613134642016
64.0,1.0,-0.10756711934159773,0.0011873161072476028
50.0,1.0,0.05313080689371169,-0.15083770063663382
48.0,1.0,0.18687827072591937,0.014295765781185936
65.0,1.0,0.008310936549178779,0.1044027602388189
64.0,1.0,-0.04264413048850516,-0.07466958451613807
59.0,1.0,-0.06404474443009041,-0.022101829217326063
72.0,1.0,0.09253335406958241,0.100188509548837
45.0,1.0,0.10371732588633246,0.007065503514597422
58.0,1.0,-0.0021005991902652006,0.09670366288661776
61.0,1.0,0.06163029796470903,0.0029707116420391775
53.0,1.0,0.043185621306445855,-0.024371493572957575
53.0,1.0,0.07065155573645303,-0.014129330914941882
59.0,1.0,0.10098122035517008,0.07704702152230118
60.0,1.0,0.04549423621357613,-0.1362343900536285
47.0,1.0,0.026220247183579477,-0.017259602596698367
47.0,1.0,0.02147656886178992,0.03678874044997733
53.0,1.0,0.0974423397543739,0.01697363893168842
53.0,1.0,0.0428334626054818,-0.024285036304531233
57.0,1.0,0.012695581687973438,0.041860992972097645
